locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKLDPBFD_00094	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
GKLDPBFD_00095	CDS	510	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
GKLDPBFD_00096	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
GKLDPBFD_00097	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
GKLDPBFD_00098	CDS	819				hypothetical protein
GKLDPBFD_00099	CDS	396	yecN		COG3788	Inner membrane protein YecN
GKLDPBFD_00100	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
GKLDPBFD_00101	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
GKLDPBFD_00102	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
GKLDPBFD_00103	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
GKLDPBFD_00104	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
GKLDPBFD_00105	CDS	567	yecM		COG3102	Protein YecM
GKLDPBFD_00106	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
GKLDPBFD_00107	CDS	489				hypothetical protein
GKLDPBFD_00108	CDS	393	flhE			Flagellar protein FlhE
GKLDPBFD_00109	CDS	3198				hypothetical protein
GKLDPBFD_00110	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
GKLDPBFD_00111	CDS	390	cheY		COG0784	Chemotaxis protein CheY
GKLDPBFD_00112	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
GKLDPBFD_00113	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
GKLDPBFD_00114	CDS	1602	tap		COG0840	Methyl-accepting chemotaxis protein IV
GKLDPBFD_00115	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
GKLDPBFD_00116	CDS	504	cheW		COG0835	Chemotaxis protein CheW
GKLDPBFD_00117	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
GKLDPBFD_00118	CDS	927	motB		COG1360	Motility protein B
GKLDPBFD_00119	CDS	888	motA		COG1291	Motility protein A
GKLDPBFD_00120	CDS	579	flhC			Flagellar transcriptional regulator FlhC
GKLDPBFD_00121	CDS	351	flhD			Flagellar transcriptional regulator FlhD
GKLDPBFD_00122	CDS	429	uspC		COG0589	Universal stress protein C
GKLDPBFD_00123	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
GKLDPBFD_00124	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
GKLDPBFD_00125	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
GKLDPBFD_00126	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
GKLDPBFD_00127	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
GKLDPBFD_00128	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
GKLDPBFD_00129	CDS	252				hypothetical protein
GKLDPBFD_00130	CDS	324				hypothetical protein
GKLDPBFD_00131	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
GKLDPBFD_00132	CDS	240				hypothetical protein
GKLDPBFD_00133	CDS	1212	tyrP		COG0814	Tyrosine-specific transport protein
GKLDPBFD_00134	CDS	666				hypothetical protein
GKLDPBFD_00135	tRNA	87				tRNA-Leu(taa)
GKLDPBFD_00136	tRNA	74				tRNA-Cys(gca)
GKLDPBFD_00137	tRNA	76				tRNA-Gly(gcc)
GKLDPBFD_00138	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
GKLDPBFD_00139	CDS	1833	uvrC		COG0322	UvrABC system protein C
GKLDPBFD_00140	CDS	657	uvrY		COG2197	Response regulator UvrY
GKLDPBFD_00141	CDS	225				hypothetical protein
GKLDPBFD_00142	CDS	723	sdiA		COG2771	Regulatory protein SdiA
GKLDPBFD_00143	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
GKLDPBFD_00144	CDS	669	yecS		COG0765	L-cystine transport system permease protein YecS
GKLDPBFD_00145	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
GKLDPBFD_00146	CDS	858	fliY		COG0834	L-cystine-binding protein FliY
GKLDPBFD_00147	CDS	552	fliZ			Regulator of sigma S factor FliZ
GKLDPBFD_00148	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
GKLDPBFD_00149	CDS	2013				hypothetical protein
GKLDPBFD_00150	CDS	1407	fliD		COG1345	Flagellar hook-associated protein 2
GKLDPBFD_00151	CDS	411	fliS		COG1516	Flagellar secretion chaperone FliS
GKLDPBFD_00152	CDS	366	fliT			Flagellar protein FliT
GKLDPBFD_00153	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
GKLDPBFD_00154	CDS	414				hypothetical protein
GKLDPBFD_00155	CDS	1206				hypothetical protein
GKLDPBFD_00156	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
GKLDPBFD_00157	CDS	672	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
GKLDPBFD_00158	CDS	762				IS200/IS605 family transposase IS609
GKLDPBFD_00159	CDS	246				IS200/IS605 family transposase IS609
GKLDPBFD_00160	CDS	288				hypothetical protein
GKLDPBFD_00161	CDS	378			COG1662	IS1 family transposase IS1A
GKLDPBFD_00162	CDS	276			COG1662	IS1 family transposase IS1A
GKLDPBFD_00163	CDS	798	rhaS_1			HTH-type transcriptional activator RhaS
GKLDPBFD_00164	CDS	552				hypothetical protein
GKLDPBFD_00165	CDS	333	emrE		COG2076	Multidrug transporter EmrE
GKLDPBFD_00166	CDS	315	fliE		COG1677	Flagellar hook-basal body complex protein FliE
GKLDPBFD_00167	CDS	1659	fliF		COG1766	Flagellar M-ring protein
GKLDPBFD_00168	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
GKLDPBFD_00169	CDS	687	fliH		COG1317	Flagellar assembly protein FliH
GKLDPBFD_00170	CDS	1374	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
GKLDPBFD_00171	CDS	444	fliJ		COG2882	Flagellar FliJ protein
GKLDPBFD_00172	CDS	1128	fliK		COG3144	Flagellar hook-length control protein
GKLDPBFD_00173	CDS	465				hypothetical protein
GKLDPBFD_00174	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
GKLDPBFD_00175	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
GKLDPBFD_00176	CDS	366	fliO		COG3190	Flagellar protein FliO
GKLDPBFD_00177	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
GKLDPBFD_00178	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
GKLDPBFD_00179	CDS	786	fliR		COG1684	Flagellar biosynthetic protein FliR
GKLDPBFD_00180	CDS	624	rcsA		COG2771	Transcriptional regulatory protein RcsA
GKLDPBFD_00181	CDS	189	dsrB			Protein DsrB
GKLDPBFD_00182	CDS	228				hypothetical protein
GKLDPBFD_00183	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
GKLDPBFD_00184	CDS	918	dgcQ_1	2.7.7.65		putative diguanylate cyclase DgcQ
GKLDPBFD_00185	CDS	615	dgcQ_2	2.7.7.65		putative diguanylate cyclase DgcQ
GKLDPBFD_00186	CDS	183				hypothetical protein
GKLDPBFD_00187	CDS	918	yedI		COG2354	Inner membrane protein YedI
GKLDPBFD_00188	CDS	921	yedA			putative inner membrane transporter YedA
GKLDPBFD_00189	CDS	471	vsr	3.1.-.-	COG3727	Very short patch repair protein
GKLDPBFD_00190	CDS	1419	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
GKLDPBFD_00191	CDS	696	yedJ		COG1418	putative protein YedJ
GKLDPBFD_00192	CDS	303	yedR			Inner membrane protein YedR
GKLDPBFD_00193	CDS	90				hypothetical protein
GKLDPBFD_00194	CDS	465	ompC_1		COG3203	Outer membrane porin C
GKLDPBFD_00195	CDS	726	ompN_1		COG3203	Outer membrane porin N
GKLDPBFD_00196	CDS	438	hchA_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
GKLDPBFD_00197	CDS	186	hchA_2	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
GKLDPBFD_00198	CDS	1359	hprS	2.7.13.3	COG0642	Sensor histidine kinase HprS
GKLDPBFD_00199	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
GKLDPBFD_00200	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
GKLDPBFD_00201	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
GKLDPBFD_00202	CDS	636	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
GKLDPBFD_00203	CDS	672	zinT		COG3443	Metal-binding protein ZinT
GKLDPBFD_00204	CDS	531	yodB		COG3038	Cytochrome b561 
GKLDPBFD_00205	CDS	426				hypothetical protein
GKLDPBFD_00206	CDS	351				hypothetical protein
GKLDPBFD_00207	CDS	1482				IS66 family transposase ISEc23
GKLDPBFD_00208	CDS	186				IS66 family transposase ISEc23
GKLDPBFD_00209	tRNA	90				tRNA-Ser(cga)
GKLDPBFD_00210	CDS	798	mtfA		COG3228	Protein MtfA
GKLDPBFD_00211	tRNA	76				tRNA-Asn(gtt)
GKLDPBFD_00212	CDS	150				hypothetical protein
GKLDPBFD_00213	CDS	1878				hypothetical protein
GKLDPBFD_00214	CDS	393				IS3 family transposase ISEhe3
GKLDPBFD_00215	CDS	1524				hypothetical protein
GKLDPBFD_00216	CDS	420	insK		COG2801	Putative transposase InsK for insertion sequence element IS150
GKLDPBFD_00217	CDS	285				IS3 family transposase ISEam1
GKLDPBFD_00218	CDS	624				hypothetical protein
GKLDPBFD_00219	CDS	1317	abaF			Fosfomycin resistance protein AbaF
GKLDPBFD_00220	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
GKLDPBFD_00221	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
GKLDPBFD_00222	tRNA	76				tRNA-Asn(gtt)
GKLDPBFD_00223	CDS	1266	yeeO		COG0534	putative FMN/FAD exporter YeeO
GKLDPBFD_00224	tRNA	76				tRNA-Asn(gtt)
GKLDPBFD_00225	CDS	951	cbl			HTH-type transcriptional regulator cbl
GKLDPBFD_00226	CDS	918	gltC_1			HTH-type transcriptional regulator GltC
GKLDPBFD_00227	tRNA	76				tRNA-Asn(gtt)
GKLDPBFD_00228	CDS	936	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
GKLDPBFD_00229	CDS	1080	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
GKLDPBFD_00230	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
GKLDPBFD_00231	CDS	543	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
GKLDPBFD_00232	CDS	723				IS3 family transposase IS3
GKLDPBFD_00233	CDS	300				IS3 family transposase ISEc17
GKLDPBFD_00234	CDS	831	php_1		COG1735	Phosphotriesterase homology protein
GKLDPBFD_00235	CDS	717				hypothetical protein
GKLDPBFD_00236	CDS	411				hypothetical protein
GKLDPBFD_00237	CDS	480				IS110 family transposase ISKpn42
GKLDPBFD_00238	CDS	393				hypothetical protein
GKLDPBFD_00239	CDS	354				hypothetical protein
GKLDPBFD_00240	CDS	486				hypothetical protein
GKLDPBFD_00241	CDS	372				IS3 family transposase IS629
GKLDPBFD_00242	CDS	357			COG2826	IS30 family transposase IS30
GKLDPBFD_00243	CDS	819				IS3 family transposase ISSd1
GKLDPBFD_00244	CDS	510				hypothetical protein
GKLDPBFD_00245	CDS	618				hypothetical protein
GKLDPBFD_00246	CDS	1221	tibC	2.4.-.-		Glycosyltransferase TibC
GKLDPBFD_00247	CDS	2940	tibA			Adhesin/invasin TibA autotransporter
GKLDPBFD_00248	CDS	1539				IS66 family transposase ISEc8
GKLDPBFD_00249	CDS	348				hypothetical protein
GKLDPBFD_00250	CDS	381				hypothetical protein
GKLDPBFD_00251	CDS	975				hypothetical protein
GKLDPBFD_00252	CDS	777				IS21 family transposase IS100kyp
GKLDPBFD_00253	CDS	267				hypothetical protein
GKLDPBFD_00254	CDS	330				hypothetical protein
GKLDPBFD_00255	CDS	1059	yeeA		COG1289	Inner membrane protein YeeA
GKLDPBFD_00256	CDS	405	sbmC_1		COG3449	DNA gyrase inhibitor
GKLDPBFD_00257	CDS	1221				ISL3 family transposase ISEc53
GKLDPBFD_00258	CDS	519				hypothetical protein
GKLDPBFD_00259	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
GKLDPBFD_00260	CDS	1428	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
GKLDPBFD_00261	CDS	228	yeeD		COG0425	Putative sulfur carrier protein YeeD
GKLDPBFD_00262	CDS	1005				hypothetical protein
GKLDPBFD_00263	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
GKLDPBFD_00264	CDS	930	yhaJ_1			HTH-type transcriptional regulator YhaJ
GKLDPBFD_00265	CDS	825	yeeZ		COG0451	Protein YeeZ
GKLDPBFD_00266	CDS	255	yoeB	3.1.-.-	COG4115	Toxin YoeB
GKLDPBFD_00267	CDS	252	yefM		COG2161	Antitoxin YefM
GKLDPBFD_00268	CDS	900	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
GKLDPBFD_00269	CDS	1305	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
GKLDPBFD_00270	CDS	1071	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
GKLDPBFD_00271	CDS	1068	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
GKLDPBFD_00272	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
GKLDPBFD_00273	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
GKLDPBFD_00274	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
GKLDPBFD_00275	CDS	612	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
GKLDPBFD_00276	CDS	981	wzzB		COG3765	Chain length determinant protein
GKLDPBFD_00277	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
GKLDPBFD_00278	CDS	1407	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
GKLDPBFD_00279	CDS	1416				hypothetical protein
GKLDPBFD_00280	CDS	735				hypothetical protein
GKLDPBFD_00281	CDS	1623				hypothetical protein
GKLDPBFD_00282	CDS	378				hypothetical protein
GKLDPBFD_00283	CDS	1122				hypothetical protein
GKLDPBFD_00284	CDS	1122				hypothetical protein
GKLDPBFD_00285	CDS	957				hypothetical protein
GKLDPBFD_00286	CDS	1389	algC_1	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
GKLDPBFD_00287	CDS	1425	manC1_1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
GKLDPBFD_00288	CDS	1110	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GKLDPBFD_00289	CDS	1143				hypothetical protein
GKLDPBFD_00290	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
GKLDPBFD_00291	CDS	1395				hypothetical protein
GKLDPBFD_00292	CDS	1221	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GKLDPBFD_00293	CDS	1281				hypothetical protein
GKLDPBFD_00294	CDS	1479	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
GKLDPBFD_00295	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
GKLDPBFD_00296	CDS	1371	algC_2	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
GKLDPBFD_00297	CDS	1437	manC1_2	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
GKLDPBFD_00298	CDS	1224				hypothetical protein
GKLDPBFD_00299	CDS	483	gmm	3.6.1.-	COG0494	GDP-mannose mannosyl hydrolase
GKLDPBFD_00300	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
GKLDPBFD_00301	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
GKLDPBFD_00302	CDS	549	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
GKLDPBFD_00303	CDS	747				hypothetical protein
GKLDPBFD_00304	CDS	1218				hypothetical protein
GKLDPBFD_00305	CDS	1218				hypothetical protein
GKLDPBFD_00306	CDS	489	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
GKLDPBFD_00307	CDS	840				hypothetical protein
GKLDPBFD_00308	CDS	2163	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
GKLDPBFD_00309	CDS	444	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
GKLDPBFD_00310	CDS	1140				hypothetical protein
GKLDPBFD_00311	CDS	1584				hypothetical protein
GKLDPBFD_00312	CDS	1854				hypothetical protein
GKLDPBFD_00313	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
GKLDPBFD_00314	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
GKLDPBFD_00315	CDS	3318	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
GKLDPBFD_00316	CDS	858	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
GKLDPBFD_00317	CDS	1353	dnaK_1			Chaperone protein DnaK
GKLDPBFD_00318	CDS	1908	yegI	2.7.-.-	COG4248	Protein kinase YegI
GKLDPBFD_00319	CDS	462				hypothetical protein
GKLDPBFD_00320	CDS	681	pphC	3.1.3.16		Serine/threonine-protein phosphatase 3
GKLDPBFD_00321	CDS	660				hypothetical protein
GKLDPBFD_00322	CDS	1248	mdtA			Multidrug resistance protein MdtA
GKLDPBFD_00323	CDS	3123	mdtB		COG0841	Multidrug resistance protein MdtB
GKLDPBFD_00324	CDS	3078	mdtC		COG0841	Multidrug resistance protein MdtC
GKLDPBFD_00325	CDS	1416	mdtD			Putative multidrug resistance protein MdtD
GKLDPBFD_00326	CDS	1404	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
GKLDPBFD_00327	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
GKLDPBFD_00328	CDS	333				hypothetical protein
GKLDPBFD_00329	CDS	252	parD1		COG3609	Antitoxin ParD1
GKLDPBFD_00330	CDS	297				hypothetical protein
GKLDPBFD_00331	CDS	1362	rlhA_1		COG0826	23S rRNA 5-hydroxycytidine synthase
GKLDPBFD_00332	CDS	378				hypothetical protein
GKLDPBFD_00333	CDS	900	yegS	2.7.1.-	COG1597	Lipid kinase YegS
GKLDPBFD_00334	CDS	780	srlR_1		COG1349	Glucitol operon repressor
GKLDPBFD_00335	CDS	1041	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
GKLDPBFD_00336	CDS	1356	gatC		COG3775	PTS system galactitol-specific EIIC component
GKLDPBFD_00337	CDS	285	gatB	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
