locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPDANJCC_00023	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
OPDANJCC_00024	CDS	336				hypothetical protein
OPDANJCC_00025	CDS	447	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
OPDANJCC_00026	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
OPDANJCC_00027	CDS	2394	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
OPDANJCC_00028	CDS	2085	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
OPDANJCC_00029	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
OPDANJCC_00030	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
OPDANJCC_00031	CDS	684	prs_1			Putative ribose-phosphate pyrophosphokinase
OPDANJCC_00032	CDS	771	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
OPDANJCC_00033	CDS	363	rpnA	3.1.21.-	COG5464	Recombination-promoting nuclease RpnA
OPDANJCC_00034	CDS	237	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
OPDANJCC_00035	CDS	2322	feoB		COG0370	Fe(2+) transporter FeoB
OPDANJCC_00036	CDS	228	feoA		COG1918	Fe(2+) transport protein A
OPDANJCC_00037	CDS	2322	yhgF		COG2183	Protein YhgF
OPDANJCC_00038	CDS	477	greB		COG0782	Transcription elongation factor GreB
OPDANJCC_00039	CDS	720	ompR			Transcriptional regulatory protein OmpR
OPDANJCC_00040	CDS	1353	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
OPDANJCC_00041	CDS	1623	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
OPDANJCC_00042	CDS	1725				hypothetical protein
OPDANJCC_00043	CDS	1149				IS200/IS605 family transposase IS609
OPDANJCC_00044	CDS	879	hslO		COG1281	33 kDa chaperonin
OPDANJCC_00045	CDS	402	hslR		COG1188	Heat shock protein 15
OPDANJCC_00046	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
OPDANJCC_00047	CDS	2136	yrfF			Putative membrane protein IgaA 
OPDANJCC_00048	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
OPDANJCC_00049	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
OPDANJCC_00050	CDS	780				hypothetical protein
OPDANJCC_00051	CDS	540				hypothetical protein
OPDANJCC_00052	CDS	441				hypothetical protein
OPDANJCC_00053	CDS	405				hypothetical protein
OPDANJCC_00054	CDS	1209	pilQ			Type IV pilus biogenesis and competence protein PilQ
OPDANJCC_00055	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
OPDANJCC_00056	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
OPDANJCC_00057	CDS	1287	damX		COG3266	Cell division protein DamX
OPDANJCC_00058	CDS	837	dam	2.1.1.72	COG0338	DNA adenine methylase
OPDANJCC_00059	CDS	678	rpe_1	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
OPDANJCC_00060	CDS	759	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
OPDANJCC_00061	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
OPDANJCC_00062	CDS	906				hypothetical protein
OPDANJCC_00063	CDS	363				hypothetical protein
OPDANJCC_00064	CDS	1164	yhfX		COG3457	putative protein YhfX
OPDANJCC_00065	CDS	1227	deoB_1	5.4.2.7	COG1015	Phosphopentomutase
OPDANJCC_00066	CDS	879	php_1		COG1735	Phosphotriesterase homology protein
OPDANJCC_00067	CDS	354				hypothetical protein
OPDANJCC_00068	CDS	1305				hypothetical protein
OPDANJCC_00069	CDS	1086	yhfS			putative protein YhfS
OPDANJCC_00070	CDS	168				hypothetical protein
OPDANJCC_00071	CDS	1374	cysG		COG0007	Siroheme synthase
OPDANJCC_00072	CDS	807	nirC		COG2116	Nitrite transporter NirC
OPDANJCC_00073	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
OPDANJCC_00074	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
OPDANJCC_00075	CDS	1182	tsgA		COG0477	Protein TsgA
OPDANJCC_00076	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
OPDANJCC_00077	CDS	168	yhfG			putative protein YhfG
OPDANJCC_00078	CDS	603	fic	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
OPDANJCC_00079	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
OPDANJCC_00080	CDS	1221	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
OPDANJCC_00081	CDS	2091				hypothetical protein
OPDANJCC_00082	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
OPDANJCC_00083	CDS	405	yhfA		COG1765	Protein YhfA
OPDANJCC_00084	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
OPDANJCC_00085	CDS	219				hypothetical protein
OPDANJCC_00086	CDS	1023				hypothetical protein
OPDANJCC_00087	CDS	1914	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
OPDANJCC_00088	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
OPDANJCC_00089	CDS	1806	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
OPDANJCC_00090	CDS	201				hypothetical protein
OPDANJCC_00091	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
OPDANJCC_00092	CDS	219	slyX		COG2900	Protein SlyX 
OPDANJCC_00093	CDS	813	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
OPDANJCC_00094	CDS	723	dauR		COG2964	Transcriptional regulator DauR
OPDANJCC_00095	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
OPDANJCC_00096	CDS	360	tusC		COG2923	Protein TusC
OPDANJCC_00097	CDS	288	tusB		COG2168	Protein TusB
OPDANJCC_00098	CDS	375	rpsL		COG0048	30S ribosomal protein S12
OPDANJCC_00099	CDS	471	rpsG		COG0049	30S ribosomal protein S7
OPDANJCC_00100	CDS	2115	fusA		COG0480	Elongation factor G
OPDANJCC_00101	CDS	1185	tuf1			Elongation factor Tu 1
OPDANJCC_00102	CDS	2703	chiA			putative bifunctional chitinase/lysozyme
OPDANJCC_00103	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
OPDANJCC_00104	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
OPDANJCC_00105	CDS	342	gspO		COG1989	Type 4 prepilin-like proteins leader peptide-processing enzyme
OPDANJCC_00106	CDS	462	gspM			Putative type II secretion system protein M
OPDANJCC_00107	CDS	1164	gspL		COG3297	Putative type II secretion system protein L
OPDANJCC_00108	CDS	984	gspK_1		COG3156	Putative type II secretion system protein K
OPDANJCC_00109	CDS	588	gspJ		COG4795	Putative type II secretion system protein J
OPDANJCC_00110	CDS	378	gspI		COG2165	Putative type II secretion system protein I
OPDANJCC_00111	CDS	510	gspH		COG2165	Putative type II secretion system protein H
OPDANJCC_00112	CDS	438	gspG		COG2165	Putative type II secretion system protein G
OPDANJCC_00113	CDS	1197	gspF		COG1459	Putative type II secretion system protein F
OPDANJCC_00114	CDS	1482	gspE		COG2804	Putative type II secretion system protein E
OPDANJCC_00115	CDS	1953	gspD		COG1450	Putative secretin GspD
OPDANJCC_00116	CDS	816	gspC		COG3031	Putative type II secretion system protein C
OPDANJCC_00117	CDS	1470	gspA			Putative general secretion pathway protein A
OPDANJCC_00118	CDS	420	gspB			Putative general secretion pathway protein B
OPDANJCC_00119	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
OPDANJCC_00120	CDS	630	rplC		COG0087	50S ribosomal protein L3
OPDANJCC_00121	CDS	606	rplD		COG0088	50S ribosomal protein L4
OPDANJCC_00122	CDS	303	rplW		COG0089	50S ribosomal protein L23
OPDANJCC_00123	CDS	822	rplB		COG0090	50S ribosomal protein L2
OPDANJCC_00124	CDS	279	rpsS		COG0185	30S ribosomal protein S19
OPDANJCC_00125	CDS	333	rplV		COG0091	50S ribosomal protein L22
OPDANJCC_00126	CDS	702	rpsC		COG0092	30S ribosomal protein S3
OPDANJCC_00127	CDS	411	rplP		COG0197	50S ribosomal protein L16
OPDANJCC_00128	CDS	192	rpmC		COG0255	50S ribosomal protein L29
OPDANJCC_00129	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
OPDANJCC_00130	CDS	372	rplN		COG0093	50S ribosomal protein L14
OPDANJCC_00131	CDS	315	rplX		COG0198	50S ribosomal protein L24
OPDANJCC_00132	CDS	540	rplE		COG0094	50S ribosomal protein L5
OPDANJCC_00133	CDS	306	rpsN		COG0199	30S ribosomal protein S14
OPDANJCC_00134	CDS	393	rpsH		COG0096	30S ribosomal protein S8
OPDANJCC_00135	CDS	534	rplF		COG0097	50S ribosomal protein L6
OPDANJCC_00136	CDS	354	rplR		COG0256	50S ribosomal protein L18
OPDANJCC_00137	CDS	504	rpsE		COG0098	30S ribosomal protein S5
OPDANJCC_00138	CDS	180	rpmD		COG1841	50S ribosomal protein L30
OPDANJCC_00139	CDS	435	rplO		COG0200	50S ribosomal protein L15
OPDANJCC_00140	CDS	1332	secY		COG0201	Protein translocase subunit SecY
OPDANJCC_00141	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
OPDANJCC_00142	CDS	357	rpsM		COG0099	30S ribosomal protein S13
OPDANJCC_00143	CDS	390	rpsK		COG0100	30S ribosomal protein S11
OPDANJCC_00144	CDS	621	rpsD		COG0522	30S ribosomal protein S4
OPDANJCC_00145	CDS	990	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
OPDANJCC_00146	CDS	384	rplQ		COG0203	50S ribosomal protein L17
OPDANJCC_00147	CDS	369				hypothetical protein
OPDANJCC_00148	CDS	426	zntR		COG0789	HTH-type transcriptional regulator ZntR
OPDANJCC_00149	CDS	219	arfA		COG3036	Alternative ribosome-rescue factor A
OPDANJCC_00150	CDS	414	mscL		COG1970	Large-conductance mechanosensitive channel
OPDANJCC_00151	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
OPDANJCC_00152	CDS	1290	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
OPDANJCC_00153	CDS	948	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
OPDANJCC_00154	CDS	510	def	3.5.1.88	COG0242	Peptide deformylase
OPDANJCC_00155	CDS	1125				hypothetical protein
OPDANJCC_00156	CDS	474	smg			Protein Smg
OPDANJCC_00157	CDS	543	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
OPDANJCC_00158	CDS	573	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
OPDANJCC_00159	CDS	819	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
OPDANJCC_00160	CDS	258				hypothetical protein
OPDANJCC_00161	CDS	555	yrdA_1		COG0663	Protein YrdA
OPDANJCC_00162	rRNA	1538				16S ribosomal RNA
OPDANJCC_00163	tRNA	77				tRNA-Ile(gat)
OPDANJCC_00164	tRNA	76				tRNA-Ala(tgc)
OPDANJCC_00165	rRNA	2901				23S ribosomal RNA
OPDANJCC_00166	rRNA	111				5S ribosomal RNA
OPDANJCC_00167	tRNA	76				tRNA-Thr(ggt)
OPDANJCC_00168	rRNA	111				5S ribosomal RNA
OPDANJCC_00169	CDS	759	glnQ_1			Glutamine transport ATP-binding protein GlnQ
OPDANJCC_00170	CDS	1104	yhdY		COG0765	Inner membrane amino-acid ABC transporter permease protein YhdY
OPDANJCC_00171	CDS	1182				hypothetical protein
OPDANJCC_00172	CDS	1026	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
OPDANJCC_00173	CDS	222				hypothetical protein
OPDANJCC_00174	CDS	3105	acrF		COG0841	Multidrug export protein AcrF
OPDANJCC_00175	CDS	1158	acrE			Multidrug export protein AcrE
OPDANJCC_00176	CDS	663	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
OPDANJCC_00177	CDS	180				hypothetical protein
OPDANJCC_00178	CDS	885	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
OPDANJCC_00179	CDS	297	fis		COG2901	DNA-binding protein Fis
OPDANJCC_00180	CDS	861	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
OPDANJCC_00181	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
OPDANJCC_00182	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
OPDANJCC_00183	CDS	243	yhdT		COG3924	putative membrane protein YhdT
OPDANJCC_00184	CDS	957		2.7.1.101	COG0524	Tagatose kinase
OPDANJCC_00185	CDS	816	srlR_1		COG1349	Glucitol operon repressor
OPDANJCC_00186	CDS	855	gatY_1	4.1.2.40		D-tagatose-1,6-bisphosphate aldolase subunit GatY
OPDANJCC_00187	CDS	891	rbsB_1		COG1879	Ribose import binding protein RbsB
OPDANJCC_00188	CDS	1500	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
OPDANJCC_00189	CDS	990	rbsC_1		COG1172	Ribose import permease protein RbsC
OPDANJCC_00190	CDS	963		2.7.1.101	COG0524	Tagatose kinase
OPDANJCC_00191	CDS	1047				hypothetical protein
OPDANJCC_00192	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
OPDANJCC_00193	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
OPDANJCC_00194	CDS	975	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
OPDANJCC_00195	CDS	1941	csrD			RNase E specificity factor CsrD
OPDANJCC_00196	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
OPDANJCC_00197	CDS	1104	mreC		COG1792	Cell shape-determining protein MreC
OPDANJCC_00198	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
OPDANJCC_00199	CDS	594	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
OPDANJCC_00200	CDS	1470	rng	3.1.26.-	COG1530	Ribonuclease G
OPDANJCC_00201	CDS	3801				hypothetical protein
OPDANJCC_00202	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
OPDANJCC_00203	CDS	930	dmlR_1			HTH-type transcriptional regulator DmlR
OPDANJCC_00204	CDS	204	aaeX			Protein AaeX
OPDANJCC_00205	CDS	933	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
OPDANJCC_00206	CDS	1968	aaeB_1		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
OPDANJCC_00207	CDS	273	yhcO		COG2732	putative protein YhcO
OPDANJCC_00208	CDS	264	bhsA_1			Multiple stress resistance protein BhsA
OPDANJCC_00209	CDS	471	argR		COG1438	Arginine repressor
OPDANJCC_00210	CDS	939	mdh_1	1.1.1.37	COG0039	Malate dehydrogenase
OPDANJCC_00211	CDS	1068	degS	3.4.21.107	COG0265	Serine endoprotease DegS
OPDANJCC_00212	CDS	1368	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
OPDANJCC_00213	CDS	399	yhcB		COG3105	Inner membrane protein YhcB
OPDANJCC_00214	CDS	1128	zapE		COG1485	Cell division protein ZapE
OPDANJCC_00215	CDS	429	rplM		COG0102	50S ribosomal protein L13
OPDANJCC_00216	CDS	393	rpsI		COG0103	30S ribosomal protein S9
OPDANJCC_00217	CDS	639	sspA		COG0625	Stringent starvation protein A
OPDANJCC_00218	CDS	498	sspB		COG2969	Stringent starvation protein B
OPDANJCC_00219	CDS	783	nanR_1		COG2186	HTH-type transcriptional repressor NanR
OPDANJCC_00220	CDS	894	nanA_1	4.1.3.3	COG0329	N-acetylneuraminate lyase
OPDANJCC_00221	CDS	1491	nanT_1			Sialic acid transporter NanT
OPDANJCC_00222	CDS	690	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
OPDANJCC_00223	CDS	876	nanK_1	2.7.1.60	COG1940	N-acetylmannosamine kinase
OPDANJCC_00224	CDS	465	yhcH		COG2731	putative protein YhcH
OPDANJCC_00225	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
OPDANJCC_00226	CDS	4554	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
OPDANJCC_00227	CDS	930				hypothetical protein
OPDANJCC_00228	CDS	2337	arcB	2.7.13.3	COG0642	Aerobic respiration control sensor protein ArcB
OPDANJCC_00229	CDS	654	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
OPDANJCC_00230	CDS	729	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
OPDANJCC_00231	CDS	633	yrbL			putative protein YrbL
OPDANJCC_00232	CDS	273	ptsO		COG1925	Phosphocarrier protein NPr
OPDANJCC_00233	CDS	855	rapZ		COG1660	RNase adapter protein RapZ
OPDANJCC_00234	CDS	492	ptsN		COG1762	Nitrogen regulatory protein
OPDANJCC_00235	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
OPDANJCC_00236	CDS	1434	rpoN		COG1508	RNA polymerase sigma-54 factor
OPDANJCC_00237	CDS	726	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OPDANJCC_00238	CDS	558	lptA		COG1934	Lipopolysaccharide export system protein LptA
OPDANJCC_00239	CDS	576	lptC		COG3117	Lipopolysaccharide export system protein LptC
OPDANJCC_00240	CDS	567	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
OPDANJCC_00241	CDS	987	kdsD_1	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
OPDANJCC_00242	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
OPDANJCC_00243	CDS	810	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
OPDANJCC_00244	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
OPDANJCC_00245	CDS	552	mlaD		COG1463	Intermembrane phospholipid transport system binding protein MlaD
OPDANJCC_00246	CDS	636	mlaC		COG2854	Intermembrane phospholipid transport system binding protein MlaC
OPDANJCC_00247	CDS	294	mlaB		COG3113	Intermembrane phospholipid transport system binding protein MlaB
OPDANJCC_00248	CDS	270	ibaG		COG5007	Acid stress protein IbaG
OPDANJCC_00249	CDS	1260	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
OPDANJCC_00250	CDS	279				hypothetical protein
OPDANJCC_00251	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
OPDANJCC_00252	CDS	312	rplU		COG0261	50S ribosomal protein L21
OPDANJCC_00253	CDS	258	rpmA		COG0211	50S ribosomal protein L27
OPDANJCC_00254	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
OPDANJCC_00255	CDS	1173	obgE	3.6.5.-	COG0536	GTPase ObgE/CgtA
OPDANJCC_00256	CDS	1434	dacB	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacB
OPDANJCC_00257	CDS	477	greA		COG0782	Transcription elongation factor GreA
OPDANJCC_00258	CDS	294	yhbY		COG1534	RNA-binding protein YhbY
OPDANJCC_00259	CDS	630	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
OPDANJCC_00260	CDS	1944	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
OPDANJCC_00261	CDS	849	folP	2.5.1.15	COG0294	Dihydropteroate synthase
OPDANJCC_00262	CDS	1338	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
OPDANJCC_00263	CDS	333	secG		COG1314	Protein-export membrane protein SecG
OPDANJCC_00264	tRNA	87				tRNA-Leu(gag)
OPDANJCC_00265	CDS	1518	yhbX	2.-.-.-	COG2194	Putative transferase YhbX
OPDANJCC_00266	CDS	1344	argG	6.3.4.5	COG0137	Argininosuccinate synthase
OPDANJCC_00267	tRNA	77				tRNA-Met(cat)
OPDANJCC_00268	CDS	453	rimP		COG0779	Ribosome maturation factor RimP
OPDANJCC_00269	CDS	1488	nusA		COG0195	Transcription termination/antitermination protein NusA
OPDANJCC_00270	CDS	2673	infB		COG0532	Translation initiation factor IF-2
OPDANJCC_00271	CDS	402	rbfA		COG0858	30S ribosome-binding factor
OPDANJCC_00272	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
OPDANJCC_00273	CDS	270	rpsO		COG0184	30S ribosomal protein S15
OPDANJCC_00274	CDS	2136	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
OPDANJCC_00275	CDS	885	nlpI		COG4785	Lipoprotein NlpI
OPDANJCC_00276	CDS	1890	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
OPDANJCC_00277	CDS	1245	mtr		COG0814	Tryptophan-specific transport protein
OPDANJCC_00278	CDS	1008				hypothetical protein
OPDANJCC_00279	CDS	879				hypothetical protein
OPDANJCC_00280	CDS	996	yhbU	3.4.-.-	COG0826	putative protease YhbU
OPDANJCC_00281	CDS	525	ubiJ_1			Ubiquinone biosynthesis accessory factor UbiJ
OPDANJCC_00282	CDS	504				hypothetical protein
OPDANJCC_00283	CDS	303				hypothetical protein
OPDANJCC_00284	CDS	444				hypothetical protein
OPDANJCC_00285	CDS	519	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
OPDANJCC_00286	CDS	636				hypothetical protein
OPDANJCC_00287	CDS	1041				hypothetical protein
OPDANJCC_00288	CDS	576	osmY_1		COG2823	Osmotically-inducible protein Y
OPDANJCC_00289	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
OPDANJCC_00290	CDS	396				hypothetical protein
OPDANJCC_00291	CDS	2037	lpoA		COG3107	Penicillin-binding protein activator LpoA
OPDANJCC_00292	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
OPDANJCC_00293	CDS	714	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
OPDANJCC_00294	CDS	792	manZ_1		COG3716	PTS system mannose-specific EIID component
OPDANJCC_00295	CDS	804	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
OPDANJCC_00296	CDS	477	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
OPDANJCC_00297	CDS	861	kbaY_1	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
OPDANJCC_00298	CDS	1155	agaS	3.5.99.-	COG2222	Putative D-galactosamine-6-phosphate deaminase AgaS
OPDANJCC_00299	CDS	1134	agaA	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
OPDANJCC_00300	CDS	435	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
OPDANJCC_00301	CDS	879	manZ_2		COG3716	PTS system mannose-specific EIID component
OPDANJCC_00302	CDS	780	agaC_2		COG3715	N-acetylgalactosamine permease IIC component 1
OPDANJCC_00303	CDS	474	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
OPDANJCC_00304	CDS	1281	kbaZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit KbaZ
OPDANJCC_00305	CDS	810	srlR_2		COG1349	Glucitol operon repressor
OPDANJCC_00306	CDS	465	yhaV	3.1.-.-		Ribonuclease toxin YhaV
OPDANJCC_00307	CDS	336	prlF		COG2002	Antitoxin PrlF
OPDANJCC_00308	CDS	1572	garD_1	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
OPDANJCC_00309	CDS	1335	garP			putative galactarate transporter
OPDANJCC_00310	CDS	771	garL	4.1.2.20	COG3836	5-keto-4-deoxy-D-glucarate aldolase
OPDANJCC_00311	CDS	891	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
OPDANJCC_00312	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
OPDANJCC_00313	CDS	939	tsaR			HTH-type transcriptional regulator TsaR
OPDANJCC_00314	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
OPDANJCC_00315	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
OPDANJCC_00316	CDS	1209	tdcD	2.7.2.15	COG0282	Propionate kinase
OPDANJCC_00317	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
OPDANJCC_00318	CDS	390	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
OPDANJCC_00319	CDS	1365	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
OPDANJCC_00320	CDS	459	dlsT_1		COG0814	Serine transporter
OPDANJCC_00321	CDS	633				IS3 family transposase ISEc52
OPDANJCC_00322	CDS	303				IS3 family transposase ISEc52
OPDANJCC_00323	CDS	783	dlsT_2		COG0814	putative serine transporter
OPDANJCC_00324	CDS	1311				hypothetical protein
OPDANJCC_00325	CDS	165				hypothetical protein
OPDANJCC_00326	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
OPDANJCC_00327	CDS	897	yhaJ_1			HTH-type transcriptional regulator YhaJ
OPDANJCC_00328	CDS	378			COG1662	IS1 family transposase IS1R
OPDANJCC_00329	CDS	276			COG1662	IS1 family transposase IS1D
OPDANJCC_00330	CDS	144	yhaH		COG3152	Inner membrane protein YhaH
OPDANJCC_00331	CDS	987	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
